tns_name,dm,dm_err,ra,ra_err,dec,dec_err,fluence,fluence_err,flux,flux_err,exp_up,exp_up_err,exp_low,exp_low_err,notes
FRB20181209A,328.5942,0.0098,98.4137,24,68.5794,13,11.1,2.1,16.9,1.7,37.6,1.5,0.0,0.0,-9999
FRB20181213A,678.693,0.012,127.8826,26,73.9033,18,8.2,1.8,6.34,0.65,30.8,3.7,35.82,0.79,-9999
FRB20181214C,632.8323,0.0030,175.8997,31,60.0573,25,15.2,2.3,4.50,0.48,26.5,1.6,0.0,0.0,-9999
FRB20181215B,494.0440,0.0059,254.6078,23,47.5892,12,12.5,1.6,14.3,1.4,25.93,0.17,0.0,0.0,-9999
FRB20181219C,647.680,0.041,17.8866,30,14.2603,30,17.5,2.7,3.87,0.44,11.23,0.87,0.0,0.0,-9999
FRB20181220A,209.5252,0.0081,348.7085,27,48.3457,18,-9999,-9999,-9999,-9999,20.96,0.73,0.0,0.0,"The absolute meridian angle is >2 deg, where the primary beam is unmodeled; flux and fluence are not calculated. "
FRB20181221A,316.249,0.048,230.4724,15,25.8542,16,15.2,1.8,3.29,0.34,20.036,0.087,0.0,0.0,-9999
FRB20181221B,1394.855,0.012,315.0145,13,80.9405,13,33.7,4.2,23.3,2.3,73.4,4.2,48.1,5.2,-9999
FRB20181222E,327.9890,0.0042,50.3806,20,87.1169,27,30.0,3.9,8.66,0.90,328.8,8.8,176,12,-9999
FRB20181223C,112.4522,0.0096,180.9319,23,27.5498,26,4.4,1.2,2.95,0.31,16.95,0.33,0.0,0.0,-9999
FRB20181224E,581.838,0.012,239.3002,15,7.2503,18,30.0,3.9,13.7,1.4,17.28,0.18,0.0,0.0,-9999
FRB20181225A,349.099,0.037,29.4629,24,65.7124,26,24.8,3.3,3.55,0.42,44.83,0.35,0.0,0.0,Event of the repeating source FRB20180916B. 
FRB20181226A,348.808,0.010,29.4894,19,65.7140,20,9.2,1.8,3.69,0.40,45.06,0.17,0.0,0.0,Event of the repeating source FRB20180916B. 
FRB20181226D,385.3383,0.0054,120.0764,13,22.1814,14,8.4,1.5,8.50,0.86,19.1,0.0,0.0,0.0,-9999
FRB20181226E,308.776,0.013,297.3697,19,73.7039,22,88,18,56.0,5.8,59.1,1.3,45.63,0.62,-9999
FRB20181228B,568.5376,0.0062,254.6073,32,63.736,36,-9999,-9999,-9999,-9999,31.1,2.3,0.0,0.0,"The absolute meridian angle is >2 deg, where the primary beam is unmodeled; flux and fluence are not calculated. "
FRB20181229A,955.452,0.017,137.1914,26,41.9665,28,5.6,1.2,1.91,0.22,22.88,0.32,0.0,0.0,-9999
FRB20181231A,1376.94,0.27,29.672,72,21.010,101,2.7,2.6,1.03,0.21,16.1,2.0,0.0,0.0,-9999
FRB20181231B,197.3659,0.0090,130.8028,24,56.0239,13,56.3,6.5,24.1,2.4,31.40,0.23,0.0,0.0,-9999
FRB20181231C,556.032,0.022,202.332,50,69.214,43,9.1,3.9,5.72,0.69,47.4,1.0,0.0,0.0,"The correct lobe of the formed beam is uncertain, RA could be shifted by up to +-3/cos(Dec) deg. "
FRB20190102A,699.06,0.40,7.5613,18,26.7447,22,96,11,15.5,1.6,15.75,0.49,0.0,0.0,-9999
FRB20190102B,367.069,0.037,21.7419,20,21.5075,23,10.7,2.2,5.36,0.57,14.53,0.73,0.0,0.0,-9999
FRB20190103C,1349.28,0.13,104.0400,25,11.0347,33,31.3,3.9,4.51,0.50,7.2,1.6,0.0,0.0,-9999
FRB20190106B,316.5360,0.0021,338.0177,24,46.1942,13,25.0,3.7,27.4,2.7,21.89,0.57,0.0,0.0,-9999
FRB20190110A,472.7885,0.0033,67.4579,13,47.4804,14,32.2,4.7,27.3,2.8,11.7,3.0,0.0,0.0,-9999
FRB20190110C,222.011,0.011,249.3278,25,41.4434,26,5.3,2.4,3.36,0.41,13.6,1.9,0.0,0.0,-9999
FRB20190111B,1336.866,0.011,259.9929,14,13.5434,17,28.1,4.7,30.8,3.1,18.7,0.0,0.0,0.0,-9999
FRB20190115B,748.181,0.026,77.5418,25,82.0083,29,7.8,1.9,3.53,0.39,127.9,1.5,127.90,0.87,-9999
FRB20190116A,444.99,0.50,192.270,65,27.164,86,6.5,2.1,0.72,0.14,19.92,0.29,0.0,0.0,Event of the repeating source FRB20190116B. 
FRB20190117A,393.126,0.047,331.6579,14,17.3688,17,24.0,2.9,6.62,0.68,18.69,0.11,0.0,0.0,Event of the repeating source FRB20190117A. 
FRB20190118A,225.1082,0.0047,255.1068,12,11.4984,12,591,62,448,45,12.14,0.52,0.0,0.0,-9999
FRB20190121A,425.275,0.034,354.5985,14,78.5798,15,36.5,4.0,5.42,0.55,68.5,2.3,4.1,2.1,-9999
FRB20190122C,690.0325,0.0078,200.4987,12,17.5914,13,115,12,12.9,1.3,18.6,0.0,0.0,0.0,-9999
FRB20190124B,441.64,0.19,214.7106,31,28.774,36,20.3,3.2,2.31,0.27,17.10,0.24,0.0,0.0,-9999
FRB20190124F,254.7986,0.0045,339.0160,14,5.3271,17,32.4,4.2,18.4,1.9,15.6,0.0,0.0,0.0,-9999
FRB20190130B,988.746,0.013,173.7121,14,16.0527,15,24.4,3.4,13.2,1.3,12.83,0.80,0.0,0.0,-9999
FRB20190131E,279.7981,0.0060,206.7288,14,80.7734,18,720,150,935,94,109.71,0.87,91.6,2.3,-9999
FRB20190201B,749.072,0.017,118.3688,21,55.4638,22,7.4,1.5,3.29,0.35,21.9,1.9,0.0,0.0,-9999
FRB20190202B,464.8392,0.0039,105.5490,24,31.9041,14,-9999,-9999,-9999,-9999,11.96,0.92,0.0,0.0,"FRB detected in a sidelobe of the primary beam, where systematics are not constrained; its position might be affected by unaccounted systematic errors. The absolute meridian angle is >2 deg, where the primary beam is unmodeled; flux and fluence are not calculated. "
FRB20190203A,420.5860,0.0057,128.9984,15,70.8421,17,42.4,5.3,12.1,1.2,53.66,0.34,38.83,0.24,-9999
FRB20190204B,1464.8415,0.0061,255.7251,35,75.9264,35,6.2,1.6,3.10,0.34,69.9,1.7,44.2,1.7,-9999
FRB20190206A,188.3527,0.0034,246.2702,17,9.3321,21,643,72,89.3,9.2,18.28,0.13,0.0,0.0,-9999
FRB20190208C,238.3228,0.0051,126.0334,17,83.4001,20,42,17,57.7,6.0,117.9,4.2,74.9,8.2,-9999
FRB20190210B,624.240,0.012,104.0372,13,23.7992,15,22.9,3.1,16.2,1.6,16.12,0.46,0.0,0.0,-9999
FRB20190212B,600.1846,0.0027,139.7677,18,52.2019,19,7.7,1.4,4.44,0.46,24.30,0.99,0.0,0.0,-9999
FRB20190212C,1015.58,0.71,172.4552,32,28.146,36,40.3,4.5,1.79,0.23,7.3,2.7,0.0,0.0,-9999
FRB20190213D,1346.68,0.40,338.498,43,52.748,76,19.2,4.8,3.70,0.49,28.15,0.80,0.0,0.0,-9999
FRB20190214C,532.955,0.014,218.8294,21,19.2882,26,12.8,1.9,3.23,0.34,17.93,0.27,0.0,0.0,-9999
FRB20190217A,798.141,0.037,94.8603,33,43.246,43,6.2,1.2,1.04,0.15,12.4,3.9,0.0,0.0,-9999
FRB20190224C,497.118,0.016,125.1238,19,19.8146,22,39.4,4.8,4.47,0.49,19.18,0.17,0.0,0.0,-9999
FRB20190224D,752.8921,0.0060,338.0643,15,89.0782,19,13.5,2.6,11.4,1.2,1281,21,1102,23,-9999
FRB20190226A,601.5461,0.0071,58.8369,18,31.9120,20,5.4,2.0,9.10,0.93,17.17,0.16,0.0,0.0,-9999
FRB20190227A,394.0305,0.0080,108.1239,14,56.2749,14,23.0,2.7,7.25,0.74,29.83,0.58,0.0,0.0,-9999
FRB20190301A,459.439,0.016,313.0391,19,69.7435,21,13.5,2.7,3.34,0.41,41.2,1.2,0.0,0.0,Event of the repeating source FRB20190222A. 
FRB20190303B,193.4292,0.0045,128.6877,11,66.0059,11,111,11,34.4,3.4,32.3,1.5,0.0,0.0,-9999
FRB20190304A,483.5212,0.0082,118.3675,26,74.6021,18,56.9,8.3,26.5,2.7,68.20,0.21,36.0,1.6,-9999
FRB20190304B,469.903,0.019,204.9119,35,24.0913,33,6.9,1.8,3.11,0.35,16.84,0.50,0.0,0.0,-9999
