tns_name,previous_name,repeater_name,ra,ra_err,ra_notes,dec,dec_err,dec_notes,gl,gb,exp_up,exp_up_err,exp_up_notes,exp_low,exp_low_err,exp_low_notes,bonsai_snr,bonsai_dm,low_ft_68,up_ft_68,low_ft_95,up_ft_95,snr_fitb,dm_fitb,dm_fitb_err,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,scat_time_err,flux,flux_err,flux_notes,fluence,fluence_err,fluence_notes,sub_num,mjd_400,mjd_400_err,mjd_inf,mjd_inf_err,width_fitb,width_fitb_err,sp_idx,sp_idx_err,sp_run,sp_run_err,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,excluded_flag
FRB20180904A,-9999,-9999,286.58,0.17,-9999,81.22,0.12,-9999,113.16,26.22,88.0,40.0,-9999,74.0,44.0,-9999,40.8,360.7,1.0,1.8,2.2,3.7,74.6,361.13741,0.00079,305.7,308.4,0.00197,<0.00055,-9999.0,3.8,2.1,-9999,6.0,3.4,-9999,0,58365.67132151567,5.4e-10,58365.67121322334,5.9e-10,0.0005275,9.7e-06,12.12,0.61,-23.18,0.95,712.3,400.2,519.7,155378.697,143482,0.539,0
FRB20180907D,-9999,-9999,328.95,0.29,-9999,89.22,0.31,-9999,122.33,26.57,1050.0,330.0,-9999,900.0,390.0,-9999,12.3,1444.4,5.1,3.5,10.2,6.8,13.8,1447.098,0.013,1391.1,1393.4,0.0059,<0.0027,-9999.0,0.89,0.6,-9999,4.9,2.3,-9999,0,58368.254154255,6.2e-09,58368.2537203214,7.4e-09,0.00222,0.00024,2.8,2.8,-0.1,3.0,800.2,400.2,800.2,339735.417,347770,0.441,0
FRB20180907A,-9999,-9999,320.87,0.23,-9999,29.46,0.22,-9999,77.77,-14.65,11.7,6.5,-9999,-9999.0,-9999.0,-9999,15.3,875.1,0.0,1.3,0.0,3.4,25.4,877.24,0.011,785.2,801.8,0.0059,0.000264,4.3e-05,0.87,0.56,-9999,2.8,1.4,-9999,0,58368.2610035043,3.3e-09,58368.260740451,4.8e-09,0.00087,0.00011,-2.3,1.1,-5.1,2.3,648.6,400.2,400.2,343339.826,342297,0.45,0
FRB20180907B,-9999,-9999,4.49,0.22,-9999,19.17,0.24,-9999,112.1,-43.0,12.5,7.0,-9999,-9999.0,-9999.0,-9999,15.4,658.3,0.0,2.0,0.0,3.8,19.3,658.1899,0.0052,620.1,628.3,0.00295,0.00113,0.00017,1.08,0.68,-9999,2.9,1.6,-9999,0,58368.3820746998,4.7e-09,58368.381877332,4.9e-09,0.00021,0.00018,-0.7,1.1,-4.6,1.8,751.4,400.2,400.2,316182.424,315545,0.493,0
FRB20180907E,-9999,-9999,167.88,0.24,-9999,47.09,0.23,-9999,160.75,62.04,16.5,9.3,-9999,-9999.0,-9999.0,-9999,12.2,381.7,0.0,3.6,0.0,8.5,20.3,383.36,0.14,352.9,363.3,0.0118,0.00338,0.00079,0.73,0.52,-9999,6.9,3.7,-9999,0,58368.834179689,1.9e-08,58368.834064734,4.7e-08,0.00415,0.00088,-7.1,1.8,-2.7,5.3,536.3,400.2,400.2,597440.649,598265,0.52,0
FRB20180910A,-9999,-9999,352.77,0.18,-9999,88.21,0.21,-9999,122.25,25.45,420.0,110.0,-9999,350.0,140.0,-9999,36.6,684.2,2.8,2.2,5.7,4.2,50.4,684.4081,0.0012,626.3,627.7,0.00098,0.000244,2.9e-05,6.5,3.2,-9999,5.6,3.0,-9999,0,58371.3375771807,2.5e-09,58371.337371951,2.5e-09,0.000205,2.9e-05,0.05,0.53,-0.53,0.63,800.2,400.2,417.6,149900.203,147737,0.525,0
FRB20180915A,-9999,-9999,280.55,0.23,-9999,17.91,0.25,-9999,48.01,10.04,12.7,7.0,-9999,-9999.0,-9999.0,-9999,13.4,370.4,0.0,7.9,0.0,15.4,16.3,371.029,0.01,199.1,224.9,0.00492,0.00088,0.00029,2.3,1.4,-9999,6.2,3.2,-9999,0,58376.1276094452,3.7e-09,58376.1274981867,4.9e-09,0.00080,0.00013,6.5,2.3,-9.1,2.8,800.2,400.2,571.9,272951.369,272377,0.562,0
FRB20180915B,-9999,-9999,225.23,0.25,-9999,25.02,0.23,-9999,36.17,60.93,13.1,7.6,-9999,-9999.0,-9999.0,-9999,12.5,176.3,0.0,2.4,0.0,4.2,36.1,177.127,0.02,154.7,154.1,0.00492,0.0001108,8.1e-06,0.99,0.42,-9999,3.8,1.0,-9999,0,58376.9753845892,2.1e-09,58376.9753314751,6.3e-09,0.001694,7.5e-05,-9.2,1.0,3.0,2.8,527.4,400.2,400.2,278172.462,276025,0.557,0
FRB20180916A,-9999,-9999,348.97,0.18,-9999,80.33,0.061,-9999,118.82,18.23,73.0,38.0,-9999,76.0,28.0,-9999,21.4,296.0,7.6,2.9,15.2,5.9,32.5,296.0275,0.0017,217.6,206.0,0.00098,0.000188,2.2e-05,2.4,1.5,-9999,4.5,2.5,-9999,0,58377.3147394604,2.4e-09,58377.3146506922,2.5e-09,<0.00010,-9999.0,2.41,0.71,-8.1,1.2,793.2,400.2,464.7,141368.791,138009,0.557,0
FRB20180917B,-9999,-9999,238.8,0.19,-9999,77.53,0.1,-9999,111.96,35.37,45.0,33.0,-9999,37.0,33.0,-9999,16.5,860.5,28.8,6.6,52.6,12.3,24.3,857.038,0.027,813.9,820.1,0.01966,0.0066,0.0011,1.03,0.52,-9999,8.3,3.2,-9999,0,58378.0062000869,9.9e-09,58378.005943092,1.3e-08,0.00247,0.00046,2.26,0.99,-8.6,1.7,765.0,400.2,456.2,451759.045,445961,0.522,0
