z,M,phi,phiuerr,phiderr,Paper
9,-21.92,0.000001,0.000001,,Bouwens+21
9,-21.12,7.00E-06,3.00E-06,,Bouwens+21
9,-20.32,2.60E-05,9.00E-06,,Bouwens+21
9,-19.12,1.87E-04,1.50E-04,,Bouwens+21
9,-17.92,9.23E-04,5.01E-04,,Bouwens+21
10,-21.25,1.00E-06,1.00E-06,,Oesch+18
10,-20.25,1.00E-05,5.00E-06,,Oesch+18
10,-19.25,3.40E-05,2.20E-05,,Oesch+18
10,-18.25,1.90E-04,1.20E-04,,Oesch+18
10,-17.25,6.30E-04,5.20E-04,,Oesch+18
8.7,-20.02,1.66E-04,1.32E-04,,Bouwens+23
8.7,-18.77,2.52E-04,2.50E-04,,Bouwens+23
10.5,-18.9,8.60E-05,1.20E-04,,Bouwens+23
10.5,-17.9,7.46E-04,7.38E-04,,Bouwens+23
12.6,-20.06,7.80E-05,6.20E-05,,Bouwens+23
12.6,-18.81,1.90E-04,1.52E-04,,Bouwens+23
9,-22.3,1.70E-07,4.00E-07,1.40E-07,Donnan+23a
9,-21.3,3.02E-06,3.98E-06,1.95E-06,Donnan+23a
9,-18.5,1.20E-03,7.17E-04,4.76E-04,Donnan+23a
10.5,-22.57,1.80E-07,4.20E-07,1.50E-07,Donnan+23a
10.5,-20.1,1.62E-05,2.14E-05,1.05E-05,Donnan+23a
10.5,-19.35,1.36E-04,6.72E-05,4.71E-05,Donnan+23a
10.5,-18.85,2.35E-04,1.07E-04,7.68E-05,Donnan+23a
10.5,-18.23,6.31E-04,3.40E-04,2.33E-04,Donnan+23a
13.25,-20.35,1.03E-05,9.98E-06,5.59E-06,Donnan+23a
13.25,-19,2.74E-05,2.17E-05,1.31E-05,Donnan+23a
11.2,-19.2,1.03E-04,8.60E-05,5.70E-05,Donnan+23b
9,-21.03,4.00E-05,9.42E-05,3.85E-05,Harikane+23
9,-20.03,4.08E-05,9.60E-05,3.92E-05,Harikane+23
9,-19.03,2.24E-04,1.87E-04,1.46E-04,Harikane+23
9,-18.03,1.12E-03,1.03E-03,9.00E-04,Harikane+23
12,-21.21,5.00E-06,1.16E-05,4.27E-06,Harikane+23
12,-20.21,1.31E-05,1.75E-05,8.90E-06,Harikane+23
12,-19.21,2.40E-05,2.38E-05,1.40E-05,Harikane+23
12,-18.21,1.42E-04,1.97E-04,1.10E-04,Harikane+23
9,-22,4.30E-07,9.80E-07,3.60E-07,Stefanon+19
9,-21.6,1.14E-06,1.50E-06,7.30E-07,Stefanon+19
9,-21.9,8.40E-07,4.90E-07,,Bowler+20
9,-22.9,1.60E-07,1.10E-07,,Bowler+20
9,-18,0.0016,0.0007,,McLure+13
9,-17.5,0.0021,0.0009,,McLure+13
9,-20.2,5.97E-05,4.18E-05,4.18E-05,McLeod+16
9,-19.2,3.49E-04,1.13E-04,3.53E-04,McLeod+16
9,-20.1,1.47E-04,1.11E-04,7.20E-05,Leung+23
9,-19.1,1.89E-04,1.38E-04,8.90E-05,Leung+23
9,-18.35,7.40E-04,4.14E-04,2.90E-04,Leung+23
9,-17.85,1.70E-03,8.50E-04,6.50E-04,Leung+23
9,-17.35,5.19E-03,2.48E-03,1.98E-03,Leung+23
11,-19.35,1.85E-04,1.19E-04,8.30E-05,Leung+23
11,-18.65,2.77E-04,1.83E-04,1.30E-04,Leung+23
11,-17.95,5.91E-04,4.19E-04,2.93E-04,Leung+23
11,-17.25,2.69E-03,1.66E-03,1.24E-03,Leung+23
9,-19.5,6.76E-05,5.54E-05,6.28E-05,Perez-Gonzalez+23
9,-18.5,2.95E-04,1.22E-04,1.21E-04,Perez-Gonzalez+23
9,-17.5,1.70E-03,4.90E-04,5.50E-04,Perez-Gonzalez+23
9,-16.5,5.01E-03,2.23E-03,2.32E-03,Perez-Gonzalez+23
10.75,-18.5,2.69E-04,1.67E-04,1.52E-04,Perez-Gonzalez+23
10.75,-17.5,1.51E-03,9.41E-04,9.11E-04,Perez-Gonzalez+23
12.25,-18.3,3.39E-04,2.78E-04,2.13E-04,Perez-Gonzalez+23
12.25,-17.3,1.35E-03,1.22E-03,9.51E-04,Perez-Gonzalez+23
10,-21.5,2.10E-05,4.80E-05,1.70E-05,Castellano+23
10,-20.5,7.60E-05,6.40E-05,3.90E-05,Castellano+23
10,-19.5,1.80E-04,1.75E-04,9.80E-05,Castellano+23
11,-20.5,4.00E-05,4.20E-05,2.50E-05,Finkelstein+23a
11,-19.8,1.46E-04,8.20E-05,5.90E-05,Finkelstein+23a
11,-19.1,1.37E-04,1.15E-04,7.40E-05,Finkelstein+23a
11.4,-21,8.91E-06,1.20E-05,5.75E-06,Naidu+22
11,-21.8,1.29E-06,1.28E-06,,McLeod+23
11,-20.8,1.25E-05,4.28E-06,,McLeod+23
11,-20.05,3.97E-05,1.34E-05,,McLeod+23
11,-19.55,9.86E-05,4.20E-05,,McLeod+23
13.5,-19.45,2.47E-05,1.66E-05,,McLeod+23
13.5,-18.95,6.20E-05,3.97E-05,,McLeod+23
9,-22,1.10E-05,7.00E-06,6.00E-06,Finkelstein+23b
9,-21,2.20E-05,1.30E-05,1.00E-05,Finkelstein+23b
9,-20.5,8.20E-05,4.00E-05,3.20E-05,Finkelstein+23b
9,-20,9.60E-05,4.60E-05,3.60E-05,Finkelstein+23b
9,-19.5,2.86E-04,1.15E-04,9.10E-05,Finkelstein+23b
9,-19,2.68E-04,1.24E-04,1.00E-04,Finkelstein+23b
11,-20.5,1.80E-05,1.20E-05,9.00E-06,Finkelstein+23b
11,-20,5.40E-05,2.70E-05,2.10E-05,Finkelstein+23b
11,-19.5,7.60E-05,3.90E-05,3.00E-05,Finkelstein+23b
14,-20,2.60E-05,3.30E-05,1.80E-05,Finkelstein+23b
14,-19.5,7.30E-05,6.90E-05,4.40E-05,Finkelstein+23b
9,-22,1.26E-06,2.72E-06,1.06E-06,Morishita+18
9,-21,3.98E-06,8.61E-06,3.35E-06,Morishita+18
10,-23,7.94E-07,1.72E-06,6.68E-07,Morishita+18
9,-21.25,9.66E-06,8.08E-06,,Adams+23
9,-20.25,6.77E-05,2.96E-05,,Adams+23
9,-19.25,1.73E-04,8.23E-05,,Adams+23
9,-18.25,7.34E-04,5.42E-04,,Adams+23
10.5,-20.75,1.53E-05,8.37E-06,,Adams+23
10.5,-19.75,8.37E-05,3.94E-05,,Adams+23
10.5,-18.75,2.13E-04,1.62E-04,,Adams+23
12.5,-20.5,6.30E-06,4.10E-06,,Adams+23
12.5,-19,4.62E-05,4.37E-05,,Adams+23
10,-20.19,4.81E-05,1.35E-05,,Franco+23
11,-22,1.00E-06,3.00E-07,4.00E-07,Casey+23
11,-21.2,1.40E-06,5.00E-07,,Casey+23
14,-21,8.10E-07,4.20E-07,,Casey+23
9,-20.58,7.10E-05,7.00E-05,4.00E-05,Willott+23
9,-20.3,9.50E-05,7.70E-05,4.80E-05,Willott+23
9,-19.53,2.30E-04,9.00E-05,,Willott+23
9,-19.34,3.10E-04,1.10E-04,,Willott+23
9,-18.89,6.70E-04,2.40E-04,,Willott+23
9,-18.35,3.90E-04,5.20E-04,2.60E-04,Willott+23
10,-19.28,1.24E-04,4.90E-05,,Willott+23
10,-18.92,1.00E-04,9.90E-05,5.70E-05,Willott+23
11.5,-19.69,2.60E-05,3.40E-05,1.70E-05,Willott+23
11.5,-18.8,4.80E-05,1.11E-04,4.10E-05,Willott+23
10.5,-21,2.09E-05,2.70E-05,6.77E-06,Chemerynska+23
10.5,-20,6.17E-05,1.01E-04,2.36E-05,Chemerynska+23
10.5,-19,9.55E-05,1.86E-04,3.93E-05,Chemerynska+23
