# Redshift evolution of the volume-averaged H II fraction
# from Finkelstein, D'Aloisio, Pardekooper et al. (2019).
# Data taken from Table 3 of this paper
#
# Column 1: z
# Column 2: Lower bound on column 3 (16 percentile)
# Column 3: Q_HII
# Column 4: Upper bound on column 3 (84 percentile)
z	Q_HII_l	Q_HII	Q_HII_u
4	1	1	1
4.2	1	1	1
4.4	1	1	1
4.6	1	1	1
4.8	1	1	1
5	1	1	1
5.2	0.993	1	1
5.4	0.963	1	1
5.6	0.938	1	1
5.8	0.905	0.967	1
6	0.87	0.93	1
6.2	0.832	0.899	0.996
6.4	0.795	0.866	0.959
6.6	0.756	0.836	0.925
6.8	0.722	0.809	0.892
7	0.694	0.781	0.862
7.2	0.659	0.753	0.836
7.4	0.628	0.724	0.808
7.6	0.598	0.699	0.78
7.8	0.57	0.672	0.753
8	0.54	0.647	0.73
8.2	0.513	0.617	0.703
8.4	0.485	0.59	0.678
8.6	0.458	0.563	0.654
8.8	0.432	0.533	0.629
9	0.403	0.502	0.603
9.2	0.373	0.476	0.574
9.4	0.344	0.443	0.543
9.6	0.314	0.413	0.507
9.8	0.285	0.377	0.468
10	0.254	0.342	0.428
10.2	0.227	0.309	0.389
10.4	0.202	0.278	0.352
10.6	0.18	0.247	0.318
10.8	0.159	0.22	0.287
11	0.14	0.196	0.256
11.2	0.125	0.174	0.23
11.4	0.112	0.156	0.207
11.6	0.099	0.139	0.185
11.8	0.087	0.124	0.166
12	0.077	0.11	0.147
12.2	0.068	0.098	0.131
12.4	0.06	0.088	0.117
12.6	0.054	0.078	0.104
12.8	0.048	0.07	0.094
13	0.043	0.062	0.084
13.2	0.038	0.056	0.075
13.4	0.034	0.051	0.067
13.6	0.031	0.045	0.06
13.8	0.027	0.04	0.053
14	0.024	0.036	0.048
14.2	0.021	0.032	0.043
14.4	0.019	0.028	0.038
14.6	0.017	0.025	0.033
14.8	0.015	0.022	0.03
15	0.013	0.02	0.026

