# From my own compilation
z	t_Gyr	rho_Mstar
0	13.7868853020097	636069824.642983
0.1	12.4416871511149	619062593.898487
0.2	11.2748137087967	600167041.417647
0.3	10.2585560961639	579534444.085973
0.4	9.37014730624677	557333171.819573
0.5	8.59064577468919	533742355.743108
0.6	7.90418284749603	508948640.838853
0.7	7.29741501879847	483145524.969732
0.8	6.75909893555588	456534483.200474
0.9	6.27974723975841	429326940.160953
1	5.85134329992535	401746111.258738
1.1	5.46710241228609	374027754.533067
1.2	5.12127144932165	346418974.054886
1.3	4.80896098157307	319174437.361155
1.4	4.52600495642877	292549753.708896
1.5	4.26884369545428	266792301.696755
1.6	4.03442651499578	242130410.233149
1.7	3.82013076529996	218762323.630405
1.8	3.62369453873028	196846629.731903
1.9	3.44316071495131	176495670.962909
2	3.27683038449239	157772904.544707
2.1	3.12322401887607	140694396.192038
2.2	2.9810490358997	125233870.196193
2.3	2.84917264564395	111330215.150514
2.4	2.72659906077483	98896158.4254128
2.5	2.61245031871585	87826941.6414846
2.6	2.50595009830089	78008137.7552015
2.7	2.40641002422969	69322115.9187403
2.8	2.31321804317566	61652984.1038345
2.9	2.22582852931054	54890072.5835826
3	2.14375383732744	48930156.7890843
3.1	2.06655707027547	43678673.3023236
3.2	1.99384586973345	39050183.6274432
3.3	1.92526706873974	34968310.8860291
3.4	1.86050207483681	31365332.572793
3.5	1.79926287269983	28181569.245338
3.6	1.74128855400237	25364670.4478225
3.7	1.68634229715942	22868867.627591
3.8	1.6342087319708	20654239.5302395
3.9	1.58469163444269	18686017.742478
4	1.53761190557927	16660972.2263545
4.1	1.49280579502386	15057987.6624414
4.2	1.45012333634238	13619058.0947069
4.3	1.40942696569054	12326220.7944667
4.4	1.37059029975539	11163626.2355551
4.5	1.33349705235225	10117270.3525784
4.6	1.29804007199917	9174763.34120968
4.7	1.26412048527759	8325129.63746969
4.8	1.23164693289338	7558634.55655217
4.9	1.20053488714121	6866633.77375048
5	1.17070604099715	6241442.41567286
5.1	1.14208776036326	5676221.01968392
5.2	1.11461259209833	5164876.03005889
5.3	1.08821782142086	4701972.84429457
5.4	1.06284507308775	4282659.71352239
5.5	1.03843995145559	3902601.04615059
5.6	1.01495171513867	3557918.8712388
5.7	0.992332982502165	3245141.39387382
5.8	0.970539464683151	2961157.72409182
5.9	0.949529723226545	2703177.98792179
6	0.929264949765573	2468698.13743041
6.1	0.909708765474968	2255468.86916359
6.2	0.89082703828562	2061468.13954875
6.3	0.872587716077078	1884876.83369144
6.4	0.854960674263788	1724057.20228175
6.5	0.837917576365858	1577533.73145915
6.6	0.821431746308902	1443976.1536783
6.7	0.805478051332795	1322184.34489272
6.8	0.790032794508468	1211074.88558863
6.9	0.775073615967167	1109669.09108714
7	0.760579402039741	1017082.34070546
7.1	0.746530201586	932514.556352068
7.2	0.732907148867317	855241.699372634
7.3	0.719692392380627	784608.170342295
7.4	0.706869029129757	720020.010340834
7.5	0.694421043861485	660938.814326616
7.6	0.682333252839618	606876.277780954
7.7	0.670591251771372	557389.307029898
7.8	0.659181367536974	512075.631740323
7.9	0.64809061340624	470569.86518183
8	0.637306647455256	432539.964074975
8.1	0.626817733922709	397684.045321271
8.2	0.61661270726914	365727.523414159
8.3	0.606680938723676	336420.523083158
8.4	0.59701230512208	309535.572680959
8.5	0.587597159857207	284865.49269352
8.6	0.578426305778646	262221.514710876
8.7	0.569490969892423	241431.574344455
8.8	0.560782779724415	222338.771076569
8.9	0.5522937412227	204799.976560899
9	0.544016218084562	188684.576373383
9.1	0.53594291240335	173873.331805455
9.2	0.528066846539053	160257.349706221
9.3	0.520381346124291	147737.149637844
9.4	0.512880024124563	136221.818727459
9.5	0.505556765878105	125628.245595392
9.6	0.498405715046611	115880.425627533
9.7	0.491421260413529	106908.830651665
9.8	0.484598023471506	98649.836784467
9.9	0.477930846745153	91045.2048472282
10	0.471414782799336	84041.6083126496
10.1	0.465045083887061	77590.2042498313
10.2	0.458817192194408	71646.2431863233
10.3	0.452726730643192	66168.7142107308
10.4	0.446769494214909	61120.0220020116
10.5	0.440941441762194	56465.6927968115
10.6	0.435238688276509	52174.1065980348
10.7	0.429657497582985	48216.2531898937
10.8	0.424194275435453	44565.5097601344
10.9	0.418845562986606	41197.4381418019
11	0.413608030609985	38089.5998773111
11.1	0.408478472052119	35221.3874789569
11.2	0.403453798894643	32573.8704143225
11.3	0.398531035307607	30129.6544840934
11.4	0.393707313076453	27872.7533851432
11.5	0.38897986688635	25788.4713648239
11.6	0.384346029848644	23863.2959744345
11.7	0.379803229255191	22084.8000219744
11.8	0.375348982547322	20441.5519075132
11.9	0.370980893486995	18923.0335997346
12	0.366696648518544	17519.5655802225
12.1	0.362494013310175	16222.2381435934
12.2	0.358370829465032	15022.8484972669
12.3	0.354325011392325	13913.8431550897
12.4	0.350354543329608	12888.2651647096
12.5	0.346457476507838	11939.705749993
12.6	0.342631926451394	11062.2599873091
12.7	0.338876070405687	10250.4861685506
12.8	0.335188144885459	9499.36853465063
12.9	0.3315664433373	8804.28309139596
13	0.32800931391028	8160.9662448054
13.1	0.324515157328968	7565.48601647409
13.2	0.321082424863466	7014.21562031306
13.3	0.317709616391372	6503.80920122821
13.4	0.314395278546921	6031.17955366991
13.5	0.311138002952806	5593.47765380328
13.6	0.307936424530445	5188.07385344671
13.7	0.304789219884711	4812.54059703555
13.8	0.301695105759371	4464.63653480726
13.9	0.298652837559672	4142.29191628268
14	0.295661207938754	3843.59515803274
