z t_Gyr rho_Mstar
0.0000 1.3787e+01 6.3607e+08
0.0050 1.3715e+01 6.3527e+08
0.0150 1.3572e+01 6.3364e+08
0.0250 1.3432e+01 6.3200e+08
0.0350 1.3294e+01 6.3034e+08
0.0450 1.3157e+01 6.2866e+08
0.0550 1.3023e+01 6.2696e+08
0.0650 1.2891e+01 6.2524e+08
0.0750 1.2760e+01 6.2350e+08
0.0850 1.2631e+01 6.2174e+08
0.0950 1.2504e+01 6.1996e+08
0.1050 1.2379e+01 6.1816e+08
0.1150 1.2256e+01 6.1635e+08
0.1250 1.2134e+01 6.1451e+08
0.1350 1.2015e+01 6.1266e+08
0.1450 1.1896e+01 6.1078e+08
0.1550 1.1780e+01 6.0889e+08
0.1650 1.1665e+01 6.0699e+08
0.1750 1.1551e+01 6.0506e+08
0.1850 1.1440e+01 6.0312e+08
0.1950 1.1329e+01 6.0115e+08
0.2050 1.1221e+01 5.9918e+08
0.2150 1.1113e+01 5.9718e+08
0.2250 1.1008e+01 5.9517e+08
0.2350 1.0903e+01 5.9313e+08
0.2450 1.0800e+01 5.9109e+08
0.2550 1.0699e+01 5.8902e+08
0.2650 1.0599e+01 5.8694e+08
0.2750 1.0500e+01 5.8485e+08
0.2850 1.0402e+01 5.8273e+08
0.2950 1.0306e+01 5.8060e+08
0.3050 1.0211e+01 5.7846e+08
0.3150 1.0118e+01 5.7630e+08
0.3250 1.0025e+01 5.7412e+08
0.3350 9.9341e+00 5.7193e+08
0.3450 9.8442e+00 5.6973e+08
0.3550 9.7554e+00 5.6751e+08
0.3650 9.6678e+00 5.6527e+08
0.3750 9.5814e+00 5.6302e+08
0.3850 9.4960e+00 5.6076e+08
0.3950 9.4118e+00 5.5848e+08
0.4050 9.3287e+00 5.5619e+08
0.4150 9.2467e+00 5.5388e+08
0.4250 9.1657e+00 5.5156e+08
0.4350 9.0858e+00 5.4923e+08
0.4450 9.0069e+00 5.4688e+08
0.4550 8.9290e+00 5.4452e+08
0.4650 8.8521e+00 5.4215e+08
0.4750 8.7762e+00 5.3976e+08
0.4850 8.7013e+00 5.3736e+08
0.4950 8.6273e+00 5.3495e+08
0.5050 8.5542e+00 5.3253e+08
0.5150 8.4821e+00 5.3010e+08
0.5250 8.4109e+00 5.2765e+08
0.5350 8.3405e+00 5.2519e+08
0.5450 8.2711e+00 5.2272e+08
0.5550 8.2025e+00 5.2024e+08
0.5650 8.1347e+00 5.1775e+08
0.5750 8.0678e+00 5.1525e+08
0.5850 8.0018e+00 5.1274e+08
0.5950 7.9365e+00 5.1021e+08
0.6050 7.8721e+00 5.0768e+08
0.6150 7.8084e+00 5.0514e+08
0.6250 7.7455e+00 5.0258e+08
0.6350 7.6834e+00 5.0002e+08
0.6450 7.6220e+00 4.9745e+08
0.6550 7.5614e+00 4.9487e+08
0.6650 7.5015e+00 4.9228e+08
0.6750 7.4423e+00 4.8968e+08
0.6850 7.3838e+00 4.8707e+08
0.6950 7.3260e+00 4.8446e+08
0.7050 7.2690e+00 4.8183e+08
0.7150 7.2126e+00 4.7920e+08
0.7250 7.1568e+00 4.7656e+08
0.7350 7.1017e+00 4.7391e+08
0.7450 7.0473e+00 4.7126e+08
0.7550 6.9935e+00 4.6860e+08
0.7650 6.9404e+00 4.6593e+08
0.7750 6.8878e+00 4.6325e+08
0.7850 6.8359e+00 4.6057e+08
0.7950 6.7845e+00 4.5788e+08
0.8050 6.7338e+00 4.5519e+08
0.8150 6.6836e+00 4.5249e+08
0.8250 6.6341e+00 4.4978e+08
0.8350 6.5851e+00 4.4707e+08
0.8450 6.5366e+00 4.4435e+08
0.8550 6.4887e+00 4.4163e+08
0.8650 6.4413e+00 4.3890e+08
0.8750 6.3945e+00 4.3617e+08
0.8850 6.3482e+00 4.3344e+08
0.8950 6.3024e+00 4.3070e+08
0.9050 6.2572e+00 4.2795e+08
0.9150 6.2124e+00 4.2521e+08
0.9250 6.1682e+00 4.2246e+08
0.9350 6.1244e+00 4.1970e+08
0.9450 6.0811e+00 4.1695e+08
0.9550 6.0383e+00 4.1419e+08
0.9650 5.9959e+00 4.1143e+08
0.9750 5.9541e+00 4.0866e+08
0.9850 5.9126e+00 4.0590e+08
0.9950 5.8717e+00 4.0313e+08
1.0050 5.8311e+00 4.0036e+08
1.0150 5.7910e+00 3.9759e+08
1.0250 5.7514e+00 3.9482e+08
1.0350 5.7121e+00 3.9205e+08
1.0450 5.6733e+00 3.8928e+08
1.0550 5.6349e+00 3.8650e+08
1.0650 5.5969e+00 3.8373e+08
1.0750 5.5594e+00 3.8096e+08
1.0850 5.5222e+00 3.7818e+08
1.0950 5.4854e+00 3.7541e+08
1.1050 5.4489e+00 3.7264e+08
1.1150 5.4129e+00 3.6987e+08
1.1250 5.3772e+00 3.6711e+08
1.1350 5.3420e+00 3.6434e+08
1.1450 5.3070e+00 3.6158e+08
1.1550 5.2725e+00 3.5881e+08
1.1650 5.2383e+00 3.5605e+08
1.1750 5.2044e+00 3.5330e+08
1.1850 5.1709e+00 3.5054e+08
1.1950 5.1377e+00 3.4779e+08
1.2050 5.1049e+00 3.4505e+08
1.2150 5.0724e+00 3.4230e+08
1.2250 5.0402e+00 3.3956e+08
1.2350 5.0084e+00 3.3683e+08
1.2450 4.9768e+00 3.3410e+08
1.2550 4.9456e+00 3.3137e+08
1.2650 4.9147e+00 3.2865e+08
1.2750 4.8841e+00 3.2594e+08
1.2850 4.8538e+00 3.2323e+08
1.2950 4.8238e+00 3.2052e+08
1.3050 4.7941e+00 3.1783e+08
1.3150 4.7647e+00 3.1514e+08
1.3250 4.7356e+00 3.1245e+08
1.3350 4.7068e+00 3.0977e+08
1.3450 4.6782e+00 3.0710e+08
1.3550 4.6499e+00 3.0444e+08
1.3650 4.6219e+00 3.0178e+08
1.3750 4.5942e+00 2.9913e+08
1.3850 4.5667e+00 2.9649e+08
1.3950 4.5395e+00 2.9386e+08
1.4050 4.5126e+00 2.9124e+08
1.4150 4.4859e+00 2.8862e+08
1.4250 4.4594e+00 2.8602e+08
1.4350 4.4332e+00 2.8342e+08
1.4450 4.4073e+00 2.8084e+08
1.4550 4.3816e+00 2.7826e+08
1.4650 4.3561e+00 2.7569e+08
1.4750 4.3309e+00 2.7314e+08
1.4850 4.3059e+00 2.7059e+08
1.4950 4.2811e+00 2.6806e+08
1.5050 4.2566e+00 2.6553e+08
1.5150 4.2323e+00 2.6302e+08
1.5250 4.2082e+00 2.6052e+08
1.5350 4.1844e+00 2.5803e+08
1.5450 4.1607e+00 2.5555e+08
1.5550 4.1373e+00 2.5308e+08
1.5650 4.1141e+00 2.5062e+08
1.5750 4.0910e+00 2.4818e+08
1.5850 4.0682e+00 2.4575e+08
1.5950 4.0456e+00 2.4333e+08
1.6050 4.0233e+00 2.4093e+08
1.6150 4.0011e+00 2.3854e+08
1.6250 3.9791e+00 2.3616e+08
1.6350 3.9573e+00 2.3380e+08
1.6450 3.9356e+00 2.3144e+08
1.6550 3.9142e+00 2.2911e+08
1.6650 3.8930e+00 2.2678e+08
1.6750 3.8719e+00 2.2447e+08
1.6850 3.8511e+00 2.2218e+08
1.6950 3.8304e+00 2.1990e+08
1.7050 3.8099e+00 2.1763e+08
1.7150 3.7896e+00 2.1538e+08
1.7250 3.7694e+00 2.1314e+08
1.7350 3.7495e+00 2.1092e+08
1.7450 3.7296e+00 2.0871e+08
1.7550 3.7100e+00 2.0652e+08
1.7650 3.6905e+00 2.0434e+08
1.7750 3.6712e+00 2.0218e+08
1.7850 3.6521e+00 2.0004e+08
1.7950 3.6331e+00 1.9791e+08
1.8050 3.6143e+00 1.9579e+08
